Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,27,9.89,1.66,18.12,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1448,1.2,0,2.57,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Pressure sores,PSI_3_ULCER,No Different than the National Rate,460,0.35,0,1.66,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,1403,0.4,0.07,0.72,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,1149,0.16,0,0.48,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,54,0.06,0.06,0.06,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.79,0.33,1.25,,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,4/1/12,3/31/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,466,1.41,0,2.89,,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Pressure sores,PSI_3_ULCER,No Different than the National Rate,143,0.45,0,1.93,,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,434,0.41,0.08,0.73,,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,396,0.17,0,0.5,,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Broken hip from a fall after surgery,PSI_8_POST_HIP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.9,0.4,1.4,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,292,3.7,2.5,5.4,,4/1/12,3/31/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,2309,7.18,4.38,9.98,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,365,9.66,3.09,16.24,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,249,2.51,0.34,4.69,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,8218,1.54,0.83,2.26,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Pressure sores,PSI_3_ULCER,No Different than the National Rate,3265,0.1,0,0.8,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,114,157.92,115.32,200.51,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,7795,0.31,0.04,0.57,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,5855,0.15,0,0.38,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,1533,0.06,0.06,0.06,,7/1/13,6/30/15
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.99,0.73,1.25,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,29,2.8,1.6,4.8,,4/1/12,3/31/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,303,4.92,0.32,9.52,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,51,11.78,4.07,19.5,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,65,2.23,0,4.52,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,2211,1.58,0.47,2.69,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Pressure sores,PSI_3_ULCER,No Different than the National Rate,751,0.24,0,1.33,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,2085,0.36,0.05,0.67,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,1597,0.15,0,0.45,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,280,0.06,0.06,0.06,,7/1/13,6/30/15
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.9,0.49,1.3,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,182,2.8,1.7,4.5,,4/1/12,3/31/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,1928,2.84,0.22,5.45,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,273,10.26,3.88,16.65,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,313,1.95,0,4.09,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,6723,1.56,0.85,2.28,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Pressure sores,PSI_3_ULCER,No Different than the National Rate,722,0.84,0,1.92,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,92,155.98,113.47,198.49,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,6389,0.41,0.14,0.68,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,4450,0.1,0,0.35,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,1328,0.06,0.06,0.06,,7/1/13,6/30/15
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.8,0.54,1.06,,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,4/1/12,3/31/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,44,5.06,0,10.26,,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,51,1.4,0,2.87,,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Pressure sores,PSI_3_ULCER,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,51,0.41,0.08,0.73,,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,32,0.17,0,0.5,,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,43,0.06,0.06,0.06,,7/1/13,6/30/15
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.88,0.39,1.38,,7/1/13,6/30/15
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,372,1.8,1.1,3,,4/1/12,3/31/15
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,1236,4.16,0.8,7.52,,7/1/13,6/30/15
